russian translation,name,Persian,Arabic,,DAvar,,DGeorgian,,Rutul Dict,,Rutul Rutul Vera,,Ikhrek Rutul Jariyat,,Ikhrek Rutul Aishe Word,,Ikhrek Rutul Zijawudin 77 Word,,Ikhrek Rutul Salimat 56 Word,,Kina Rutul Nurulla,,Kina Rutul Mevletdin 70 word,,Kina Rutul Magomed-Shapi 67yo word,,Kiche Rutul Serazhudin Word,,Kiche Rutul Sejfulla Word,,Azer,Persian,In our lists for Lezgic (2) or Turkic (1),Arabic,,Kumyk,,Lezgian,,Khlut Alimurad,,Helmets Abduragim,,Helmets Tarlan,,Helmets Murad,,Khlut Alimurad,,Khlut Arsen,,Khlut Sanidir,,Khlut Islam,,Russian,,Mikik Tsakhur Allahverdi,,Mikik Tsakhur Nariman
школа,the school,"madreseh, dabestan, adab, darot-tadrees, moallemin",madrasa,школа,2,sk'ola,2,мехьтеб,1,мехьтеб,1,мехьтеб,1,мехьтеб,1,махьтеб,1,мехьтеб,1,мехьтаб,1,мехьтаб,1,мехьтаб,1,мехьтеб,1,мехьтеб,1,məktəb,1,"adab, darot-tadrees, moallemin",,,"школа, мактап","1,2",RUS,2,мехьтеб,1,мектаб,1,мектаб,1,мектаб,1,мектеб,1,мектеб,1,"мектеб, мектаб",1,"мектаб, мектеб",1,школа,2,"мектаб, мактаб",1,мактаб,1
мул,the mule,"ostoor, ghater",baghl,гIорцIен,21,ǯori,22,къатир,1,къатир,1,къатир,1,къатир,1,къатир,1,къатир,1,къатир,1,къатир,1,къатир,1,къатир,1,къатир,1,qatır,1,"ostoor, ghater","1,2",,къачыр,1,КЪАТИР,1,КЪАТИР,1,къатир,1,къатир,1,къатир,1,кьатир,1,кьатиб,1,"яц, жунгав","2,3",0,NA,мул,4,къатир,1,1,1
овёс (чем кормят лошадей),the oats,solt,shoufan,неха (ниха),7,švria,22,хьытI,1,хьыт1,1,0,NA,гъаргъал,2,гъаргъал,2,гъаргъар,2,гъаргъал,2,гъаргъал,2,гъаргъал,2,сык1ыл,3,гъыл,4,yulaf,5,solt,,,"сулу, ныха","6,7",ГЕРГЕР,2,нех,7,гъаргъар,2,0,NA,сык1ыль,3,нях,7,гергер,2,гергер,2,кьуьл,8,овёс (чем кормят лошадей),9,хьыт1а,1,1,1
карандаш,the pencil,ghalam,qalam,къалам,1,pankari,22,кьалам,1,кьалам,1,кьалам,1,кьалам,1,кьалям,1,къалам,1,кьалям,1,кьалям,1,кьалям,1,кьалам,1,кьалам,1,karandaş,2,ghalam,2,,карандаш,2,RUS,2,кьалам,1,кьалям,1,кьалям,1,кьалям,1,кьалам,1,к1алам,1,"карандаш, кьалам","1,2",карандаш,2,карандаш,2,к1алям,1,кьалям,1
репа,the turnip,shalgham,"shalgham, shalgam",талган,22,talgami,22,0,NA,кьа1,1,кьаъа,1,кьаъа,1,кьаъа,1,къа,1,кьаъ,1,кьа1,1,кьаъа,1,0,NA,0,NA,şalğam,2,shalgham,1,,турп,3,ТУРП,3,?хьылаб,4,джугъундур,5,радиска,NA,джугъундур,5,клаб,6,клоб,6,"джугъундур, турп","3,5",0,NA,репа,7,кьа,1,1,1
табак,the tobacco,"tambakoo, tootoon",tabagh,тамахьо,1,tambako,1,тамбаку,1,тамбаку,1,тутун,2,тамбаку,1,тутун/тамбаку,"1,2",тутун,2,туьтуьнь,2,"туьтуьн, тамбаку","1,2",тютюн,2,тамбак,1,туьтуьн,2,tütün,2,"tambakoo, tootoon","1,2",,тамакю,1,ТЕНБЕК,1,ТЕНБЕК,1,туьтуьнь,2,тямбаку,1,туьтуьнь,2,тенбек,1,тембек,1,тембек,1,тембек,1,табак,1,туьтуьн,2,1,2
полотенце,the towel,"abchin, eezaree, howleh, dastar, -mal, roomal","minshaff, nashaafa","полотенце, гьумербацIцI","4,23",p'irsaχotsi,22,десмал,1,десмал,1,десмал,1,десмел,1,десмел,1,десмал,1,десмал,1,десмал,1,десмал,1,тасмал,1,дасмал,1,dəsmal,1,"abchin, eezaree, howleh, dastar, -mal, roomal",2?,,"чюй явлукъ, бет явлукъ","2,3",ДАСМАЛ,1,ДАСМАЛ,1,десмал,1,десмал,1,десмал,1,дасмал,1,тасмал,1,тасмал,1,тасмал,1,полотенце,4,десмал,1,десмел,1
перец (черный),the pepper,"pelpel, fiyyat",fulful,"пилпил, пучч",3,p'ilp'ili,22,истивут,1,уст1уъут,1,истиут,1,исиут,1,иссиут,1,истивут,1,истиут,1,истиут,1,истивут,1,истиут,1,иставут,1,bibər,2,"pelpel, fiyyat",2,,"бурч, жибижей, иссиот","1,3,4",ИСТИВУТ,1,ИСТИВУТ,1,истиот,1,иссоот,1,иссоот,1,истивут,1,истивут,1,истивут,1,перец,1,перец (черный),5,уссоот,1,иссоъот,1
лев,the lion,"shir, arslan, asad, hares, dervas, delhas",asad,гъалбацI,21,lomi,22,аслан,1,аслан,1,аслан,1,аслан,1,аслан,1,аслан,1,аслан,1,там,2,аслан,1,пеленг,3,аслан,1,aslan,1,"arslan, asad, hares, dervas, delhas","1,2",,"арсланкъаплан, арслан",1,аслан,1,аслан,1,пейланг,3,аслан,1,аслан,1,аслаг,1,лев,4,аслан,1,перлен,3,лев,4,пегьлянг,2,аслан (пегьлянг тигр),1
неделя,the week,hafteh,usbou',анкь,21,k'vira,22,гьаIфте,1,гьафте,1,гьафта,1,гьафте,1,гьафта,1,гьяфте,1,гьфта,1,гьафта,1,гьафта,1,гьафте,1,гьафте,1,həftə,1,hafteh,"1,2",,жума,2,гьафте,1,гьафте,1,гьафте,1,гьафте,1,гьафте,1,гьафте,1,гьафта,1,"гьафте, гьафта",1,гьафта,1,неделя,3,гьа1фта,1,1,1
